configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
72,35.0,,,sr3,0.1,0.05,10.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009362790733575821,,,
73,35.0,,,sr3,0.1,0.05,0.01,1,6,1,4.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0021637380123138428,,,
74,35.0,,,sr3,0.1,0.05,0.1,1,6,1,4.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0020057912915945053,,,
75,35.0,,,sr3,0.1,0.05,1.0,1,6,1,4.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001440390944480896,,,
76,35.0,,,sr3,0.1,0.05,10.0,1,6,1,4.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014209318906068802,,,
77,35.0,,,sr3,0.1,0.05,0.01,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014406759291887283,,,
78,35.0,,,sr3,0.1,0.05,0.1,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014075040817260742,,,
79,35.0,,,sr3,0.1,0.05,1.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013838764280080795,,,
80,35.0,,,sr3,0.1,0.05,10.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013402309268712997,,,
81,35.0,,,sr3,0.1,0.05,0.01,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013586170971393585,,,
82,35.0,,,sr3,0.1,0.05,0.1,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013648513704538345,,,
83,35.0,,,sr3,0.1,0.05,1.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013464298099279404,,,
84,35.0,,,sr3,0.1,0.05,10.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001358378678560257,,,
85,35.0,,,sr3,0.1,0.05,0.01,1,6,2,8.0,40.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013619326055049896,,,
86,35.0,,,sr3,0.1,0.05,0.1,1,6,2,8.0,40.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013576783239841461,,,
87,35.0,,,sr3,0.1,0.05,1.0,1,6,2,8.0,40.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013973284512758255,,,
88,35.0,,,sr3,0.1,0.05,10.0,1,6,2,8.0,40.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.00133507139980793,,,
89,35.0,,,sr3,0.1,0.05,0.01,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013754479587078094,,,
90,35.0,,,sr3,0.1,0.05,0.1,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001372653990983963,,,
91,35.0,,,sr3,0.1,0.05,1.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013761091977357864,,,
92,35.0,,,sr3,0.1,0.05,10.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001349000260233879,,,
93,35.0,,,sr3,0.1,0.05,0.01,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.00133439339697361,,,
94,35.0,,,sr3,0.1,0.05,0.1,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013459697365760803,,,
95,35.0,,,sr3,0.1,0.05,1.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013727974146604538,,,
96,35.0,,,sr3,0.1,0.05,10.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.001347692683339119,,,
97,35.0,,,sr3,0.1,0.05,0.01,1,6,5,20.0,100.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013737771660089493,,,
98,35.0,,,sr3,0.1,0.05,0.1,1,6,5,20.0,100.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0014066845178604126,,,
99,35.0,,,sr3,0.1,0.05,1.0,1,6,5,20.0,100.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013959407806396484,,,
100,35.0,,,sr3,0.1,0.05,10.0,1,6,5,20.0,100.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,42,,0.0013660639524459839,,,
