configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
74,35.0,36.85636440989091,3,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19841540232300758,9,9,0,1.0,True,,True
75,35.0,36.85636440989091,3,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19100764766335487,9,9,0,1.0,True,,True
76,35.0,36.85636440989091,3,2,2,8.0,8.0,0,0.0,finite_difference,20,20,100.0,0.180795231834054,9,9,0,1.0,True,,True
77,35.0,36.85636440989091,3,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.18523534014821053,9,9,0,1.0,True,,True
78,35.0,36.85636440989091,3,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.17282653786242008,9,9,0,1.0,True,,True
79,35.0,36.85636440989091,3,2,5,20.0,20.0,0,0.0,finite_difference,20,20,100.0,0.16318689100444317,9,9,0,1.0,True,,True
80,35.0,36.85636440989091,3,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1714274361729622,9,9,0,1.0,True,,True
81,35.0,36.85636440989091,3,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.17073441669344902,9,9,0,1.0,True,,True
82,35.0,36.85636440989091,3,4,1,4.0,12.0,0,0.0,finite_difference,140,140,100.0,1.1160508319735527,9,9,0,1.0,True,,True
83,35.0,36.85636440989091,3,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.0648400988429785,9,9,0,1.0,True,,True
84,35.0,36.85636440989091,3,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,139,140,99.28571428571429,1.2239410504698753,9,9,0,1.0,True,,True
85,35.0,36.85636440989091,3,4,2,8.0,24.0,0,0.0,finite_difference,140,140,100.0,1.0489453561604023,9,0,9,0.0,False,integration error: model derivative became non-finite,True
86,35.0,36.85636440989091,3,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.0512615870684385,9,0,9,0.0,False,integration error: model derivative became non-finite,True
87,35.0,36.85636440989091,3,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,137,140,97.85714285714286,1.2045969273895025,9,0,9,0.0,False,integration error: model derivative became non-finite,True
88,35.0,36.85636440989091,3,4,5,20.0,60.0,0,0.0,finite_difference,140,140,100.0,1.0553166139870882,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
89,35.0,36.85636440989091,3,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.1070418525487185,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
90,35.0,36.85636440989091,3,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,139,140,99.28571428571429,1.2604777663946152,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
91,35.0,36.85636440989091,3,6,1,4.0,20.0,0,0.0,finite_difference,502,504,99.60317460317461,7.046819498762488,9,0,9,0.0,False,integration error: model derivative became non-finite,True
92,35.0,36.85636440989091,3,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,501,504,99.4047619047619,7.0758193749934435,9,0,9,0.0,False,integration error: model derivative became non-finite,True
93,35.0,36.85636440989091,3,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,501,504,99.4047619047619,6.961399137973785,9,0,9,0.0,False,integration error: model derivative became non-finite,True
94,35.0,36.85636440989091,3,6,2,8.0,40.0,0,0.0,finite_difference,503,504,99.8015873015873,6.9415514804422855,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
95,35.0,36.85636440989091,3,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,502,504,99.60317460317461,6.975082891061902,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
96,35.0,36.85636440989091,3,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,6.299449346959591,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
97,35.0,36.85636440989091,3,6,5,20.0,100.0,0,0.0,finite_difference,501,504,99.4047619047619,6.895572904497385,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
98,35.0,36.85636440989091,3,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,501,504,99.4047619047619,6.858760746195912,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
99,35.0,36.85636440989091,3,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,6.174095042049885,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
100,35.0,36.85636440989091,3,8,1,4.0,28.0,0,0.0,finite_difference,1304,1320,98.78787878787878,19.164132554084063,9,0,9,0.0,False,integration error: model derivative became non-finite; integration error: simulation exceeded 1800 wall-clock seconds,True
101,35.0,36.85636440989091,3,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,1305,1320,98.86363636363636,17.217620564624667,9,0,9,0.0,False,integration error: model derivative became non-finite,True
102,35.0,36.85636440989091,3,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,1300,1320,98.48484848484848,17.60233249887824,9,0,9,0.0,False,integration error: model derivative became non-finite,True
103,35.0,36.85636440989091,3,8,2,8.0,56.0,0,0.0,finite_difference,1311,1320,99.31818181818181,17.36139290779829,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
104,35.0,36.85636440989091,3,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,1310,1320,99.24242424242425,17.259467720985413,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite; integration error: simulation exceeded 1800 wall-clock seconds,True
105,35.0,36.85636440989091,3,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,1312,1320,99.39393939393939,17.356901360675693,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
106,35.0,36.85636440989091,3,8,5,20.0,140.0,0,0.0,finite_difference,1305,1320,98.86363636363636,19.474591482430696,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
