config_key,sweep_id,configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,x0_rmse_uv,trajectory_rmse_uv,rhs_evaluations
9abd249dbce3,raw_grid_deg2357_t20000,19,1088,failed,integration error: model derivative became non-finite,14.18,6.814551062019592,,,46010.0
9abd249dbce3,raw_grid_deg2357_t20000,19,622,failed,integration error: model derivative became non-finite,14.176,8.667010905888974,,,71537.0
9abd249dbce3,raw_grid_deg2357_t20000,19,620,failed,integration error: model derivative became non-finite,14.176,9.216819250685909,,,69319.0
947e39ab58fe,raw_grid_deg2357_t20000,20,4,failed,integration error: model derivative became non-finite,14.068,8.83595149222749,,,67896.0
947e39ab58fe,raw_grid_deg2357_t20000,20,1088,failed,integration error: model derivative became non-finite,14.18,6.360668879446089,,,45201.0
947e39ab58fe,raw_grid_deg2357_t20000,20,622,failed,integration error: model derivative became non-finite,14.176,8.39923611398808,,,65011.0
947e39ab58fe,raw_grid_deg2357_t20000,20,620,failed,integration error: model derivative became non-finite,14.176,8.540697461736444,,,64021.0
f1a94fbd479e,raw_grid_deg2357_t20000,21,4,failed,integration error: model derivative became non-finite,14.068,0.09092902723159613,,,15280.0
f1a94fbd479e,raw_grid_deg2357_t20000,21,1088,failed,integration error: model derivative became non-finite,14.18,0.09136942687524514,,,15378.0
f1a94fbd479e,raw_grid_deg2357_t20000,21,622,failed,integration error: model derivative became non-finite,14.176,0.10024610570061417,,,15242.0
f1a94fbd479e,raw_grid_deg2357_t20000,21,620,failed,integration error: model derivative became non-finite,14.176,0.09199875710021495,,,15252.0
d7ca600e86f9,raw_grid_deg2357_t20000,22,4,success,,14.048,14.048,33.002729104636536,32.96106582029071,59939.0
d7ca600e86f9,raw_grid_deg2357_t20000,22,1088,failed,integration error: model derivative became non-finite,14.16,5.420068581891947,,,30234.0
d7ca600e86f9,raw_grid_deg2357_t20000,22,622,failed,integration error: model derivative became non-finite,14.156,3.654542107345664,,,22911.0
d7ca600e86f9,raw_grid_deg2357_t20000,22,620,success,,14.156,14.156,47.859896909504755,47.74050423743629,49979.0
b3c660507992,raw_grid_deg2357_t20000,23,4,success,,14.048,14.048,35.623366205219945,35.41913815946115,70781.0
b3c660507992,raw_grid_deg2357_t20000,23,1088,failed,integration error: model derivative became non-finite,14.16,10.536780597383041,,,56442.0
b3c660507992,raw_grid_deg2357_t20000,23,622,failed,integration error: model derivative became non-finite,14.156,10.475526085978913,,,47381.0
b3c660507992,raw_grid_deg2357_t20000,23,620,success,,14.156,14.156,46.304276692072925,46.21613136348861,65323.0
74f4a4b6b875,raw_grid_deg2357_t20000,24,4,success,,14.048,14.048,32.20771070566807,32.22674419169076,62067.0
74f4a4b6b875,raw_grid_deg2357_t20000,24,1088,failed,integration error: model derivative became non-finite,14.16,5.769085923523288,,,28704.0
74f4a4b6b875,raw_grid_deg2357_t20000,24,622,failed,integration error: model derivative became non-finite,14.156,3.816745795944124,,,23288.0
74f4a4b6b875,raw_grid_deg2357_t20000,24,620,success,,14.156,14.156,47.903324199577376,47.8849757374833,39358.0
21f3ec2a1d1d,raw_grid_deg2357_t20000,25,4,success,,13.988,13.988,29.945980421710164,31.434604859464574,34212.0
21f3ec2a1d1d,raw_grid_deg2357_t20000,25,1088,success,,14.1,14.1,48.08933520014766,49.13435071877719,34251.0
21f3ec2a1d1d,raw_grid_deg2357_t20000,25,622,success,,14.096,14.096,40.01393757818753,41.36163275729258,35149.0
21f3ec2a1d1d,raw_grid_deg2357_t20000,25,620,success,,14.096,14.096,41.53198294308317,42.326545619283515,33456.0
f12514aed9c0,raw_grid_deg2357_t20000,26,4,success,,13.988,13.988,40.53008502417327,45.54411714910801,39116.0
f12514aed9c0,raw_grid_deg2357_t20000,26,1088,success,,14.1,14.1,55.51433270417588,59.325914470705435,40201.0
f12514aed9c0,raw_grid_deg2357_t20000,26,622,success,,14.096,14.096,49.654701722255105,54.53080996294264,40006.0
f12514aed9c0,raw_grid_deg2357_t20000,26,620,success,,14.096,14.096,50.58478305769721,54.40888518478455,39797.0
d98b34d70e78,raw_grid_deg2357_t20000,27,4,success,,13.988,13.988,61.42142028932299,58.77193105976418,22684.0
d98b34d70e78,raw_grid_deg2357_t20000,27,1088,success,,14.1,14.1,80.62667047978493,78.34406112803548,24113.0
d98b34d70e78,raw_grid_deg2357_t20000,27,622,success,,14.096,14.096,60.33482778725139,58.42864878722525,26302.0
d98b34d70e78,raw_grid_deg2357_t20000,27,620,success,,14.096,14.096,98.23925297754516,94.18481490007126,21328.0
3fb4dc4d7294,raw_grid_deg2357_t20000,28,4,failed,integration error: model derivative became non-finite,14.06,5.603427909432753,,,36762.0
3fb4dc4d7294,raw_grid_deg2357_t20000,28,1088,failed,integration error: model derivative became non-finite,14.172,4.0681630782739315,,,27568.0
3fb4dc4d7294,raw_grid_deg2357_t20000,28,622,failed,integration error: model derivative became non-finite,14.168000000000001,4.516158149335987,,,30427.0
3fb4dc4d7294,raw_grid_deg2357_t20000,28,620,failed,integration error: model derivative became non-finite,14.168000000000001,9.242773160642034,,,46032.0
51dc9b26f50a,raw_grid_deg2357_t20000,29,4,failed,integration error: model derivative became non-finite,14.06,9.072078591841883,,,65479.0
51dc9b26f50a,raw_grid_deg2357_t20000,29,1088,failed,integration error: model derivative became non-finite,14.172,8.141521224803531,,,51297.0
51dc9b26f50a,raw_grid_deg2357_t20000,29,622,failed,integration error: model derivative became non-finite,14.168000000000001,7.28330918317355,,,46318.0
51dc9b26f50a,raw_grid_deg2357_t20000,29,620,failed,integration error: model derivative became non-finite,14.168000000000001,8.171166196060042,,,92360.0
f1dec1de4ed4,raw_grid_deg2357_t20000,30,4,failed,integration error: model derivative became non-finite,14.06,0.10242722160476707,,,15174.0
f1dec1de4ed4,raw_grid_deg2357_t20000,30,1088,failed,integration error: model derivative became non-finite,14.172,0.10213444970094986,,,15359.0
f1dec1de4ed4,raw_grid_deg2357_t20000,30,622,failed,integration error: model derivative became non-finite,14.168000000000001,0.1356609658875701,,,18795.0
f1dec1de4ed4,raw_grid_deg2357_t20000,30,620,failed,integration error: model derivative became non-finite,14.168000000000001,0.1306707348250508,,,15343.0
2217af3f7058,raw_grid_deg2357_t20000,31,4,success,,14.032,14.032,30.535784265096623,30.566116871472875,104689.0
2217af3f7058,raw_grid_deg2357_t20000,31,1088,success,,14.144,14.144,79.95845878958947,79.80152441172434,44036.0
2217af3f7058,raw_grid_deg2357_t20000,31,622,success,,14.14,14.14,46.22864927186101,46.19642073283702,89253.0
2217af3f7058,raw_grid_deg2357_t20000,31,620,success,,14.14,14.14,47.18835291179344,47.16095759497704,64824.0
e49456358f86,raw_grid_deg2357_t20000,32,4,success,,14.032,14.032,30.19858226970624,30.1654073158121,99013.0
e49456358f86,raw_grid_deg2357_t20000,32,1088,success,,14.144,14.144,76.53060881414683,76.47635890189129,46421.0
e49456358f86,raw_grid_deg2357_t20000,32,622,success,,14.14,14.14,45.31948953230051,45.369585193815325,88622.0
e49456358f86,raw_grid_deg2357_t20000,32,620,success,,14.14,14.14,46.21463594432115,46.23074549277841,69909.0
6856f07e0f2d,raw_grid_deg2357_t20000,33,4,success,,14.032,14.032,27.808508093867868,27.715290733291997,60715.0
6856f07e0f2d,raw_grid_deg2357_t20000,33,1088,failed,integration error: model derivative became non-finite,14.144,6.03159342387885,,,37794.0
6856f07e0f2d,raw_grid_deg2357_t20000,33,622,success,,14.14,14.14,52.79985878619489,52.79050041832917,56364.0
6856f07e0f2d,raw_grid_deg2357_t20000,33,620,success,,14.14,14.14,52.22781452378876,52.2641566894766,49627.0
3c27cddf49d6,raw_grid_deg2357_t20000,34,4,success,,13.948,13.948,31.82440767214125,32.366908998746126,32414.0
3c27cddf49d6,raw_grid_deg2357_t20000,34,1088,success,,14.06,14.06,52.51674888318858,52.99158945358771,33591.0
3c27cddf49d6,raw_grid_deg2357_t20000,34,622,success,,14.056000000000001,14.056000000000001,48.718297369147386,48.99745349658751,36302.0
3c27cddf49d6,raw_grid_deg2357_t20000,34,620,success,,14.056000000000001,14.056000000000001,46.452298582700365,46.517701077042766,34487.0
25db09cf721e,raw_grid_deg2357_t20000,35,4,success,,13.948,13.948,48.72325324581757,57.42625775703348,41210.0
25db09cf721e,raw_grid_deg2357_t20000,35,1088,success,,14.06,14.06,74.90812288206318,79.30381133222218,36817.0
25db09cf721e,raw_grid_deg2357_t20000,35,622,success,,14.056000000000001,14.056000000000001,68.2584831039692,73.45952251492238,36377.0
25db09cf721e,raw_grid_deg2357_t20000,35,620,success,,14.056000000000001,14.056000000000001,63.06590084912712,69.06299499888102,39554.0
25d6ba7d6e4d,raw_grid_deg2357_t20000,36,4,failed,integration error: model derivative became non-finite,13.948,3.6339024587847946,,,23112.0
25d6ba7d6e4d,raw_grid_deg2357_t20000,36,1088,failed,integration error: model derivative became non-finite,14.06,2.8145689983037725,,,21295.0
25d6ba7d6e4d,raw_grid_deg2357_t20000,36,622,failed,integration error: model derivative became non-finite,14.056000000000001,1.9362891701513347,,,19188.0
25d6ba7d6e4d,raw_grid_deg2357_t20000,36,620,failed,integration error: model derivative became non-finite,14.056000000000001,2.9010357237857725,,,21662.0
d199c8c9d9d6,raw_grid_deg2357_t20000,37,4,success,,14.084,14.084,27.709127240961795,27.704567556208886,19126.0
d199c8c9d9d6,raw_grid_deg2357_t20000,37,1088,success,,14.196,14.196,55.97798781889675,55.97368040988138,25851.0
d199c8c9d9d6,raw_grid_deg2357_t20000,37,622,success,,14.192,14.192,46.30425517478309,46.31084253729003,24706.0
d199c8c9d9d6,raw_grid_deg2357_t20000,37,620,success,,14.192,14.192,40.44145701341198,40.44158357997735,17846.0
053fe2327817,raw_grid_deg2357_t20000,38,4,success,,14.084,14.084,27.775823567464357,27.772810669938718,19207.0
053fe2327817,raw_grid_deg2357_t20000,38,1088,success,,14.196,14.196,55.039018267782396,55.0267569839982,26193.0
053fe2327817,raw_grid_deg2357_t20000,38,622,success,,14.192,14.192,46.53713416120032,46.527983286589276,25141.0
053fe2327817,raw_grid_deg2357_t20000,38,620,success,,14.192,14.192,40.794156037499356,40.794266442175946,18413.0
b07da4bf7729,raw_grid_deg2357_t20000,39,4,success,,14.084,14.084,28.56807624664639,28.56401118494695,19561.0
b07da4bf7729,raw_grid_deg2357_t20000,39,1088,success,,14.196,14.196,57.150147020338494,57.139317433443956,24612.0
b07da4bf7729,raw_grid_deg2357_t20000,39,622,success,,14.192,14.192,50.9343076996208,50.932872770716614,24272.0
b07da4bf7729,raw_grid_deg2357_t20000,39,620,success,,14.192,14.192,41.47808985101235,41.4791614409087,19627.0
fb2fabaaeae2,raw_grid_deg2357_t20000,40,4,success,,14.08,14.08,40.14996145793613,40.13195998861498,24507.0
fb2fabaaeae2,raw_grid_deg2357_t20000,40,1088,success,,14.192,14.192,64.09193038776895,64.06502359244088,26997.0
fb2fabaaeae2,raw_grid_deg2357_t20000,40,622,success,,14.188,14.188,58.31550199505256,58.306125715804015,26926.0
fb2fabaaeae2,raw_grid_deg2357_t20000,40,620,success,,14.188,14.188,47.59769251031293,47.59366186915117,24060.0
02662e7d6299,raw_grid_deg2357_t20000,41,4,success,,14.08,14.08,37.464038134063074,37.40653847390297,24401.0
02662e7d6299,raw_grid_deg2357_t20000,41,1088,success,,14.192,14.192,63.59789429829137,63.58558619306178,27300.0
02662e7d6299,raw_grid_deg2357_t20000,41,622,success,,14.188,14.188,58.30828642500578,58.29791795092535,26853.0
02662e7d6299,raw_grid_deg2357_t20000,41,620,success,,14.188,14.188,46.479804500388525,46.44518502032853,24120.0
df36da1f4157,raw_grid_deg2357_t20000,42,4,success,,14.08,14.08,41.493666953419925,41.476649974723806,25545.0
df36da1f4157,raw_grid_deg2357_t20000,42,1088,success,,14.192,14.192,73.56885771955295,73.54943463573653,28367.0
df36da1f4157,raw_grid_deg2357_t20000,42,622,success,,14.188,14.188,68.03760529491002,68.04224163129211,28230.0
df36da1f4157,raw_grid_deg2357_t20000,42,620,success,,14.188,14.188,47.068559505520604,47.035277570200044,24318.0
f0f3c92faa21,raw_grid_deg2357_t20000,43,4,success,,14.068,14.068,27.77504061505927,27.762872595501012,11846.0
f0f3c92faa21,raw_grid_deg2357_t20000,43,1088,success,,14.18,14.18,52.96800273067446,53.07705122302228,14845.0
f0f3c92faa21,raw_grid_deg2357_t20000,43,622,success,,14.176,14.176,50.40162635580242,50.44485053747227,14844.0
f0f3c92faa21,raw_grid_deg2357_t20000,43,620,success,,14.176,14.176,39.91624635362042,39.91158460981842,11822.0
c11808c5288f,raw_grid_deg2357_t20000,44,4,success,,14.068,14.068,27.75088565658973,27.750126380469318,12359.0
c11808c5288f,raw_grid_deg2357_t20000,44,1088,success,,14.18,14.18,52.91771390017308,52.959360126258325,15035.0
c11808c5288f,raw_grid_deg2357_t20000,44,622,success,,14.176,14.176,49.99132041969662,50.122094038177345,15319.0
c11808c5288f,raw_grid_deg2357_t20000,44,620,success,,14.176,14.176,39.95665028594909,39.934785283520476,11685.0
ae0753e337da,raw_grid_deg2357_t20000,45,4,success,,14.068,14.068,27.436751435545272,27.42685315336826,12565.0
ae0753e337da,raw_grid_deg2357_t20000,45,1088,success,,14.18,14.18,51.98813266020377,51.93800477998879,14800.0
ae0753e337da,raw_grid_deg2357_t20000,45,622,success,,14.176,14.176,47.05982666090483,47.01868450619311,15714.0
ae0753e337da,raw_grid_deg2357_t20000,45,620,success,,14.176,14.176,40.028724099333886,40.01933489689255,11493.0
b0f3f2fcdff2,raw_grid_deg2357_t20000,46,4,success,,14.076,14.076,58.15904030209893,58.12857391657679,43844.0
b0f3f2fcdff2,raw_grid_deg2357_t20000,46,1088,success,,14.188,14.188,71.37462548813846,71.35895707233111,41526.0
b0f3f2fcdff2,raw_grid_deg2357_t20000,46,622,success,,14.184000000000001,14.184000000000001,63.798126203137905,63.79173472621321,41095.0
b0f3f2fcdff2,raw_grid_deg2357_t20000,46,620,success,,14.184000000000001,14.184000000000001,62.837751155053276,62.832259981687436,47719.0
f2fad1c43a10,raw_grid_deg2357_t20000,47,4,success,,14.076,14.076,56.657346208508336,56.63974145625772,44148.0
f2fad1c43a10,raw_grid_deg2357_t20000,47,1088,success,,14.188,14.188,71.39306610605026,71.36934245042953,42269.0
f2fad1c43a10,raw_grid_deg2357_t20000,47,622,success,,14.184000000000001,14.184000000000001,65.8117380578336,65.7887425276551,40544.0
f2fad1c43a10,raw_grid_deg2357_t20000,47,620,success,,14.184000000000001,14.184000000000001,64.62055040164418,64.61581420730641,47573.0
de9c8223f3cb,raw_grid_deg2357_t20000,48,4,success,,14.076,14.076,41.96768456275464,41.97408412814869,60725.0
de9c8223f3cb,raw_grid_deg2357_t20000,48,1088,success,,14.188,14.188,66.68769750510535,66.68007959223769,42452.0
de9c8223f3cb,raw_grid_deg2357_t20000,48,622,success,,14.184000000000001,14.184000000000001,59.02691746896516,59.02045971792886,43949.0
de9c8223f3cb,raw_grid_deg2357_t20000,48,620,success,,14.184000000000001,14.184000000000001,52.26212323104974,52.24595818960198,57202.0
d23b25a1cfcd,raw_grid_deg2357_t20000,49,4,success,,14.064,14.064,47.31334021925772,47.21201049581829,40309.0
d23b25a1cfcd,raw_grid_deg2357_t20000,49,1088,success,,14.176,14.176,64.10504368743014,64.07384154385866,34768.0
d23b25a1cfcd,raw_grid_deg2357_t20000,49,622,success,,14.172,14.172,58.78854727464006,58.74425412414712,35203.0
d23b25a1cfcd,raw_grid_deg2357_t20000,49,620,success,,14.172,14.172,56.14770514931657,56.11154048940629,40126.0
35bc057e141e,raw_grid_deg2357_t20000,50,4,success,,14.064,14.064,50.79562243593265,50.77687248652064,39654.0
35bc057e141e,raw_grid_deg2357_t20000,50,1088,success,,14.176,14.176,63.21934850907996,63.172356616479114,34954.0
35bc057e141e,raw_grid_deg2357_t20000,50,622,success,,14.172,14.172,59.33306367027766,59.29025775296309,34921.0
35bc057e141e,raw_grid_deg2357_t20000,50,620,success,,14.172,14.172,57.385014195353115,57.36450382325352,38848.0
2e5688c9e22f,raw_grid_deg2357_t20000,51,4,failed,integration error: model derivative became non-finite,14.064,4.30727064411071,,,91907.0
2e5688c9e22f,raw_grid_deg2357_t20000,51,1088,failed,integration error: model derivative became non-finite,14.176,12.20373443211674,,,107110.0
2e5688c9e22f,raw_grid_deg2357_t20000,51,622,success,,14.172,14.172,61.0323017560179,60.951895920780444,32815.0
2e5688c9e22f,raw_grid_deg2357_t20000,51,620,failed,integration error: model derivative became non-finite,14.172,3.860382590517262,,,90807.0
9d5d54cb514f,raw_grid_deg2357_t20000,52,4,success,,14.028,14.028,31.562002375001615,32.792509031103464,28138.0
9d5d54cb514f,raw_grid_deg2357_t20000,52,1088,success,,14.14,14.14,53.55334110942663,54.286368695541384,30506.0
9d5d54cb514f,raw_grid_deg2357_t20000,52,622,success,,14.136000000000001,14.136000000000001,51.800942826100275,52.28423723811906,29417.0
9d5d54cb514f,raw_grid_deg2357_t20000,52,620,success,,14.136000000000001,14.136000000000001,46.328151165899826,47.57343875345809,30798.0
a059b0111614,raw_grid_deg2357_t20000,53,4,success,,14.028,14.028,31.30818166198366,32.66999206157648,29507.0
a059b0111614,raw_grid_deg2357_t20000,53,1088,success,,14.14,14.14,52.93683755934868,54.08807461616197,31177.0
a059b0111614,raw_grid_deg2357_t20000,53,622,success,,14.136000000000001,14.136000000000001,51.12697087324403,51.64770237101106,30124.0
