configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
18,1088,success,,14.14,14.14,12.619212815538049,21264,3536,30.55664925725945,3536,55.71025044372972,55.416358553319
18,1244,success,,14.028,14.028,15.230369076132774,27706,3508,68.65713154660187,3508,76.81650770665499,80.1345324103367
19,2,success,,14.176,14.176,47.06946066208184,64710,3545,40.345731652711265,3545,55.1196852398212,55.095952251442945
19,3,success,,14.176,14.176,46.27541630901396,63554,3545,31.919134922223584,3545,42.894350785854876,42.89202299447512
19,4,success,,14.068,14.068,55.399455059319735,76677,3518,14.278028090257099,3518,30.2457417939601,30.227956101549065
19,312,success,,14.176,14.176,50.75925378501415,69685,3545,17.863795141776333,3545,38.861421790715646,38.85646191153879
19,620,success,,14.176,14.176,49.711383333429694,67899,3545,15.650901724694679,3545,43.1148520752738,43.08843427314082
19,622,success,,14.176,14.176,67.78704175166786,93499,3545,27.163753234154367,3545,46.07728389672611,46.06948828401372
19,778,success,,14.176,14.176,42.84546485170722,58843,3545,39.65952856043771,3545,52.55545077559863,52.5528207089775
19,1088,success,,14.18,14.18,45.41776129975915,62528,3546,44.98220295817298,3546,63.5635108874598,63.54316123930917
19,1244,success,,14.068,14.068,46.444426549598575,63729,3518,86.60290673039782,3518,93.04307867757753,93.02818705170964
20,2,success,,14.176,14.176,48.304133743047714,64826,3545,39.659610629139394,3545,55.223058403677406,55.21431233684771
20,3,success,,14.176,14.176,47.40572068840265,59732,3545,30.846936740859018,3545,42.407437091898814,42.36490228068526
20,4,success,,14.068,14.068,57.356634920462966,75373,3518,15.582646166283434,3518,31.37042007908217,31.35243114859635
20,312,success,,14.176,14.176,52.9184642508626,69373,3545,17.47766890418547,3545,38.135713411498436,38.13853702267001
20,620,success,,14.176,14.176,58.42716566286981,75596,3545,17.332516035844815,3545,42.84735279852459,42.836947358330356
20,622,success,,14.176,14.176,78.14528451673687,101891,3545,26.4406358695484,3545,45.18078892781617,45.16986031397514
20,778,success,,14.176,14.176,44.19610854238272,57391,3545,39.554215041233434,3545,52.75296504374318,52.754963154893964
20,1088,success,,14.18,14.18,46.692598616704345,57534,3546,43.63297633793595,3546,64.30481129355384,64.2979423571457
20,1244,success,,14.068,14.068,48.42149207368493,64632,3518,85.40639866206334,3518,90.87441529217024,90.76709184525973
21,2,success,,14.176,14.176,76.50222393684089,102232,3545,110.3630457291626,3545,116.11962711667468,116.08954952269612
21,3,success,,14.176,14.176,75.93707389757037,99654,3545,64.96253213900532,3545,71.93493768232732,71.97107538660924
