configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
46,3,35.0,4,1,0,0.0,1.0,20,3,True,,2.0,1.0126090802249583,0.0911926577790406,0.8656442379618545,1.0475303630070318,0.1736473694592536,0.1976047904191616
46,3,35.0,4,1,0,0.0,1.0,150,3,True,,2.0,1.0126090802249583,0.0911926577790406,0.8656442379618545,1.0475303630070318,0.1736473694592536,0.1976047904191616
46,3,35.0,4,1,0,0.05,1.0,20,1244,True,,2.0,1.5016160135951913,0.1619614585737218,0.6941088109833822,1.256416265004236,0.2741338396795606,0.2355289421157684
46,3,35.0,4,1,0,0.05,1.0,150,1244,True,,2.0,1.5016160135951913,0.1619614585737218,0.6941088109833822,1.256416265004236,0.2741338396795606,0.2355289421157684
46,3,35.0,4,1,0,0.0,1.0,20,1244,True,,2.0,1.3775484181858642,0.1555901337174572,0.6731291967080761,0.9737196931946384,0.2743135070323453,0.2055888223552894
46,3,35.0,4,1,0,0.0,1.0,150,1244,True,,2.0,1.3775484181858642,0.1555901337174572,0.6731291967080761,0.9737196931946384,0.2743135070323453,0.2055888223552894
46,3,35.0,4,1,0,0.05,1.0,20,778,True,,2.0,1.369203389540158,-0.0411260634542155,1.0249304105192047,1.378826858851465,0.5147755125041401,0.1776447105788423
46,3,35.0,4,1,0,0.05,1.0,150,778,True,,2.0,1.369203389540158,-0.0411260634542155,1.0249304105192047,1.378826858851465,0.5147755125041401,0.1776447105788423
46,3,35.0,4,1,0,0.0,1.0,20,778,True,,2.0,1.261580878536673,-0.0133264829398559,0.8398583585760709,1.1713302993048216,0.513049230535397,0.1477045908183632
46,3,35.0,4,1,0,0.0,1.0,150,778,True,,2.0,1.261580878536673,-0.0133264829398559,0.8398583585760709,1.1713302993048216,0.513049230535397,0.1477045908183632
46,3,35.0,4,1,0,0.05,1.0,20,312,True,,2.0,1.0825030056544491,-0.033403766882408,0.5261488753654547,0.7520263325352262,0.2381285217581512,0.0758483033932135
46,3,35.0,4,1,0,0.05,1.0,150,312,True,,2.0,1.0825030056544491,-0.033403766882408,0.5261488753654547,0.7520263325352262,0.2381285217581512,0.0758483033932135
46,3,35.0,4,1,0,0.0,1.0,20,312,True,,2.0,1.0371528030808406,-0.0003375169513733,0.491779708632313,0.6465744872894995,0.231628381916514,0.0938123752495009
46,3,35.0,4,1,0,0.0,1.0,150,312,True,,2.0,1.0371528030808406,-0.0003375169513733,0.491779708632313,0.6465744872894995,0.231628381916514,0.0938123752495009
47,3,35.0,4,1,5,0.05,1.0,20,4,True,,2.0,0.6790328517592098,0.087169499754668,0.3277703009054548,0.5033742966605944,0.1267353781085387,0.2055888223552894
47,3,35.0,4,1,5,0.05,1.0,150,4,True,,2.0,0.6790328517592098,0.087169499754668,0.3277703009054548,0.5033742966605944,0.1267353781085387,0.2055888223552894
47,3,35.0,4,1,5,0.0,1.0,20,4,True,,2.0,0.6743461549160114,0.0921600942990812,0.3085363317631275,0.4848955275795469,0.1307374758856076,0.1996007984031936
47,3,35.0,4,1,5,0.0,1.0,150,4,True,,2.0,0.6743461549160114,0.0921600942990812,0.3085363317631275,0.4848955275795469,0.1307374758856076,0.1996007984031936
47,3,35.0,4,1,5,0.05,1.0,20,1088,True,,2.0,1.4984033993537174,0.1346912632216178,0.6706092445414941,1.0725516844468914,0.1946893938108755,0.0978043912175648
47,3,35.0,4,1,5,0.05,1.0,150,1088,True,,2.0,1.4984033993537174,0.1346912632216178,0.6706092445414941,1.0725516844468914,0.1946893938108755,0.0978043912175648
47,3,35.0,4,1,5,0.0,1.0,20,1088,True,,2.0,1.4130460244219316,0.1289164083715506,0.6015914710702274,0.912537164849238,0.1951584326049663,0.0638722554890219
47,3,35.0,4,1,5,0.0,1.0,150,1088,True,,2.0,1.4130460244219316,0.1289164083715506,0.6015914710702274,0.912537164849238,0.1951584326049663,0.0638722554890219
47,3,35.0,4,1,5,0.05,1.0,20,622,True,,2.0,1.4056260287118103,-0.0332221875387817,0.7187569700215957,0.7559420615382836,0.0133465323003734,0.1137724550898203
47,3,35.0,4,1,5,0.05,1.0,150,622,True,,2.0,1.4056260287118103,-0.0332221875387817,0.7187569700215957,0.7559420615382836,0.0133465323003734,0.1137724550898203
