label,lead_s,skill,n_forecasts
persistence,0.17200000000000001,0.2110258249824461,112
persistence,0.176,0.18714003844603552,112
persistence,0.18,0.16813867530624627,112
persistence,0.184,0.15592298432088766,112
persistence,0.188,0.148864286140202,112
persistence,0.192,0.14475068482349165,112
persistence,0.196,0.14199874274163812,112
persistence,0.2,0.13870236340418965,112
persistence,0.20400000000000001,0.13326202983752292,112
persistence,0.20800000000000002,0.12839884695362264,112
persistence,0.212,0.13246871914340033,112
persistence,0.216,0.15208256630456388,112
persistence,0.22,0.18560907462344595,112
persistence,0.224,0.2238017699001874,112
persistence,0.228,0.2545481795738035,112
persistence,0.232,0.2697607800505436,112
persistence,0.23600000000000002,0.26880913194647427,112
persistence,0.24,0.25620381701301553,112
persistence,0.244,0.23877668535511937,112
persistence,0.248,0.22277479690133958,112
persistence,0.252,0.2104601111089875,112
persistence,0.256,0.1998005142988553,112
persistence,0.26,0.18794888579396005,112
persistence,0.264,0.17397804749922188,112
persistence,0.268,0.15770651643666417,112
persistence,0.272,0.13743697096396096,112
persistence,0.276,0.1092529374416164,112
persistence,0.28,0.06871019660767401,112
persistence,0.28400000000000003,0.013807573435142826,112
persistence,0.28800000000000003,-0.0517787123305642,112
persistence,0.292,-0.11482332136156594,112
persistence,0.296,-0.15919001616594003,112
persistence,0.3,-0.1792665343281102,112
persistence,0.304,-0.17949569071585583,112
persistence,0.308,-0.16827244826677254,112
persistence,0.312,-0.15354446016967027,112
persistence,0.316,-0.13811997980829416,112
persistence,0.32,-0.1189941757288213,112
persistence,0.324,-0.0925589749599012,112
persistence,0.328,-0.058937661952611214,112
persistence,0.332,-0.023135596298078598,112
persistence,0.336,0.006149399414490353,112
persistence,0.34,0.021689141791505065,112
persistence,0.34400000000000003,0.02291153823809897,112
persistence,0.34800000000000003,0.016552878419456914,112
persistence,0.352,0.013167930930680128,112
persistence,0.356,0.02062472156721086,112
persistence,0.36,0.03968794247298842,112
persistence,0.364,0.06463296088431583,112
persistence,0.368,0.08598095075444025,112
persistence,0.372,0.09497189207740533,112
persistence,0.376,0.08771833364179774,112
persistence,0.38,0.06551430085449608,112
persistence,0.384,0.03318816534765727,112
persistence,0.388,-0.0018552018105582998,112
