configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
88,35.0,3,4,5,20.0,60.0,0,0.0,finite_difference,136,140,97.14285714285714,1.4445593431591988,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
89,35.0,3,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,135,140,96.42857142857143,1.4481956847012043,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
90,35.0,3,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,137,140,97.85714285714286,1.4759157188236713,9,0,9,0.0,False,integration error: model derivative became non-finite,True
91,35.0,3,6,1,4.0,20.0,0,0.0,finite_difference,474,504,94.04761904761905,7.597366606816649,9,0,9,0.0,False,integration error: model derivative became non-finite,True
92,35.0,3,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,476,504,94.44444444444444,7.7031604908406734,9,0,9,0.0,False,integration error: model derivative became non-finite,True
93,35.0,3,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,470,504,93.25396825396825,7.546819815412164,9,0,9,0.0,False,integration error: model derivative became non-finite,True
94,35.0,3,6,2,8.0,40.0,0,0.0,finite_difference,481,504,95.43650793650794,8.553863797336817,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
95,35.0,3,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,485,504,96.23015873015873,7.74906493537128,9,0,9,0.0,False,integration error: model derivative became non-finite,True
96,35.0,3,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,483,504,95.83333333333333,8.628925712779164,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
97,35.0,3,6,5,20.0,100.0,0,0.0,finite_difference,479,504,95.03968253968254,7.655508453026414,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
98,35.0,3,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,480,504,95.23809523809524,7.674007164314389,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
99,35.0,3,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,479,504,95.03968253968254,7.6893926821649075,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
100,35.0,3,8,1,4.0,28.0,0,0.0,finite_difference,1213,1320,91.89393939393939,21.262105837464333,9,0,9,0.0,False,integration error: model derivative became non-finite,True
101,35.0,3,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,1211,1320,91.74242424242425,21.756055971607566,9,0,9,0.0,False,integration error: model derivative became non-finite,True
102,35.0,3,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,1198,1320,90.75757575757575,22.990659711882472,9,0,9,0.0,False,integration error: model derivative became non-finite,True
103,35.0,3,8,2,8.0,56.0,0,0.0,finite_difference,1210,1320,91.66666666666667,23.316110994666815,9,0,9,0.0,False,integration error: model derivative became non-finite,True
104,35.0,3,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,1209,1320,91.5909090909091,23.261902740225196,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
105,35.0,3,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,1206,1320,91.36363636363636,23.727361399680376,9,0,9,0.0,False,integration error: model derivative became non-finite,True
106,35.0,3,8,5,20.0,140.0,0,0.0,finite_difference,1204,1320,91.21212121212122,25.810302063822746,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
107,35.0,3,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,1210,1320,91.66666666666667,23.602718193084,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
108,35.0,3,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,1208,1320,91.51515151515152,23.810219956561923,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
109,80.0,1,2,1,4.0,4.0,0,0.0,finite_difference,4,6,66.66666666666667,0.6538574676960707,9,9,0,1.0,True,,True
110,80.0,1,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.12251241039484739,9,9,0,1.0,True,,True
111,80.0,1,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.10079551581293344,9,9,0,1.0,True,,True
112,80.0,1,2,2,8.0,8.0,0,0.0,finite_difference,4,6,66.66666666666667,0.08839567378163338,9,9,0,1.0,True,,True
113,80.0,1,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.09967288933694363,9,9,0,1.0,True,,True
114,80.0,1,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.10131825413554907,9,9,0,1.0,True,,True
115,80.0,1,2,5,20.0,20.0,0,0.0,finite_difference,4,6,66.66666666666667,0.08765097055584192,9,9,0,1.0,True,,True
116,80.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.101077601313591,9,9,0,1.0,True,,True
117,80.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,4,6,66.66666666666667,0.095316706225276,9,9,0,1.0,True,,True
118,80.0,1,4,1,4.0,12.0,0,0.0,finite_difference,16,20,80.0,0.1584941651672125,9,9,0,1.0,True,,True
119,80.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16507869865745306,9,9,0,1.0,True,,True
120,80.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.1769105503335595,9,9,0,1.0,True,,True
121,80.0,1,4,2,8.0,24.0,0,0.0,finite_difference,12,20,60.0,0.14890944492071867,9,9,0,1.0,True,,True
122,80.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,20,60.0,0.15495855081826448,9,9,0,1.0,True,,True
123,80.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.17405868042260408,9,9,0,1.0,True,,True
124,80.0,1,4,5,20.0,60.0,0,0.0,finite_difference,16,20,80.0,0.1598583608865738,9,9,0,1.0,True,,True
125,80.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.16668707504868507,9,9,0,1.0,True,,True
126,80.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,16,20,80.0,0.17408575117588043,9,9,0,1.0,True,,True
127,80.0,1,6,1,4.0,20.0,0,0.0,finite_difference,34,42,80.95238095238095,0.2862085551023483,9,9,0,1.0,True,,True
128,80.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.30420460645109415,9,9,0,1.0,True,,True
129,80.0,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.30044723860919476,9,9,0,1.0,True,,True
130,80.0,1,6,2,8.0,40.0,0,0.0,finite_difference,30,42,71.42857142857143,0.27401469461619854,9,9,0,1.0,True,,True
131,80.0,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,28,42,66.66666666666667,0.27420665603131056,9,9,0,1.0,True,,True
132,80.0,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.3050905289128423,9,9,0,1.0,True,,True
133,80.0,1,6,5,20.0,100.0,0,0.0,finite_difference,34,42,80.95238095238095,0.2799335913732648,9,9,0,1.0,True,,True
134,80.0,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,34,42,80.95238095238095,0.292601584456861,9,9,0,1.0,True,,True
135,80.0,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.30735434778034687,9,9,0,1.0,True,,True
136,80.0,1,8,1,4.0,28.0,0,0.0,finite_difference,60,72,83.33333333333333,0.4572062464430928,9,9,0,1.0,True,,True
137,80.0,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,64,72,88.88888888888889,0.4723006458953023,9,9,0,1.0,True,,True
138,80.0,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,64,72,88.88888888888889,0.48709179926663637,9,9,0,1.0,True,,True
139,80.0,1,8,2,8.0,56.0,0,0.0,finite_difference,54,72,75.0,0.44287914130836725,9,9,0,1.0,True,,True
140,80.0,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,51,72,70.83333333333333,0.4305741349235177,9,9,0,1.0,True,,False
141,80.0,1,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,64,72,88.88888888888889,0.4824496665969491,9,9,0,1.0,True,,False
142,80.0,1,8,5,20.0,140.0,0,0.0,finite_difference,62,72,86.11111111111111,0.4591861004009843,9,9,0,1.0,True,,True
143,80.0,1,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,62,72,86.11111111111111,0.4654937842860818,9,9,0,1.0,True,,True
144,80.0,1,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,64,72,88.88888888888889,0.48423012625426054,9,9,0,1.0,True,,True
145,80.0,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.6659726556390524,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
146,80.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.14882497768849134,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
147,80.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13949222024530172,9,9,0,1.0,True,,True
148,80.0,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.12922721169888973,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
149,80.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13871781062334776,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
150,80.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.14203470386564732,9,9,0,1.0,True,,True
151,80.0,2,2,5,20.0,20.0,0,0.0,finite_difference,12,12,100.0,0.11484281253069639,9,9,0,1.0,True,,True
152,80.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,11,12,91.66666666666667,0.13441637065261602,9,9,0,1.0,True,,True
153,80.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,11,12,91.66666666666667,0.13593547698110342,9,9,0,1.0,True,,True
154,80.0,2,4,1,4.0,12.0,0,0.0,finite_difference,60,60,100.0,0.4530932968482375,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
155,80.0,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,59,60,98.33333333333333,0.5120315607637167,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
156,80.0,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,58,60,96.66666666666667,0.5074055483564734,9,9,0,1.0,True,,True
157,80.0,2,4,2,8.0,24.0,0,0.0,finite_difference,59,60,98.33333333333333,0.4887967547401786,9,0,9,0.0,False,integration error: model derivative became non-finite,True
158,80.0,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,57,60,95.0,0.4900678051635623,9,0,9,0.0,False,integration error: model derivative became non-finite,True
159,80.0,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,57,60,95.0,0.4963335730135441,9,9,0,1.0,True,,True
160,80.0,2,4,5,20.0,60.0,0,0.0,finite_difference,59,60,98.33333333333333,0.4872032506391406,9,9,0,1.0,True,,True
161,80.0,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4257767768576741,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
162,80.0,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,59,60,98.33333333333333,0.5139638539403677,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
163,80.0,2,6,1,4.0,20.0,0,0.0,finite_difference,162,168,96.42857142857143,1.6046540206298232,9,9,0,1.0,True,,True
164,80.0,2,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,163,168,97.02380952380952,1.5373983150348067,9,9,0,1.0,True,,True
165,80.0,2,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,156,168,92.85714285714286,1.4609721200540662,9,0,9,0.0,False,integration error: model derivative became non-finite,True
166,80.0,2,6,2,8.0,40.0,0,0.0,finite_difference,160,168,95.23809523809524,1.3932601111009717,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
