lead_s,aesindy_skill,persistence_skill,n_forecasts
0.508,0.02705794566205269,-0.11114926984853056,234
0.512,0.006754953595453633,-0.1102685298332959,234
0.516,-0.01373854332305264,-0.10607946619858902,234
0.52,-0.023558972888616685,-0.10202902109372987,234
0.524,-0.016427860447973907,-0.10002249299546075,234
0.528,0.0063181499558809225,-0.09850916283279869,234
0.532,0.03613775564116402,-0.09376792361247925,234
0.536,0.06011951897617895,-0.0832813850306679,234
0.54,0.06793723843186282,-0.06840940735666953,234
0.544,0.059060615919240035,-0.05368328339275376,234
0.548,0.042369835597266106,-0.04373257873512913,234
0.552,0.029059442560330134,-0.04113446962910504,234
0.556,0.025466219187038147,-0.0459508134879552,234
0.56,0.02944048822974136,-0.05624032219914997,234
0.5640000000000001,0.03267601092487033,-0.06939298313557257,234
0.5680000000000001,0.027636514092808886,-0.08316879904916875,234
0.5720000000000001,0.012392592048227668,-0.09531604049703583,234
0.5760000000000001,-0.00960862089203947,-0.10311531875273426,234
0.58,-0.032990591552030546,-0.10439930060847033,234
0.584,-0.053746646297881194,-0.09923845051285393,234
0.588,-0.0699352982863603,-0.09007909015879839,234
0.592,-0.0798090750089377,-0.08007295613718576,234
0.596,-0.08138315823912855,-0.07161631424273254,234
0.6,-0.07437131611575747,-0.06607095310690908,234
0.604,-0.06162225752926578,-0.0643244063169812,234
0.608,-0.04769949097356815,-0.06763366204550553,234
0.612,-0.03624773195753848,-0.07760722127755057,234
0.616,-0.028155512804979667,-0.09468509717342748,234
0.62,-0.021977955244851848,-0.11669816601900748,234
0.624,-0.016333249824544215,-0.13927914458474872,234
0.628,-0.011815135964648497,-0.1573232798604311,234
0.632,-0.010100266315239697,-0.1664336610172522,234
0.636,-0.010900964268597445,-0.16458590002025839,234
0.64,-0.009465680197353383,-0.1527664939660872,234
0.644,0.0019835969321293162,-0.13379912862508608,234
0.648,0.028414802870038555,-0.11206961651254604,234
0.652,0.06633586548806024,-0.09449899099613265,234
0.656,0.10449281895200296,-0.08863246867497196,234
0.66,0.12990273606004435,-0.09759612978986752,234
0.664,0.13414874838480767,-0.11682184278026642,234
0.668,0.11819293010958473,-0.13670417055223427,234
0.672,0.09144440352208745,-0.14970868783465296,234
0.676,0.06514583371134998,-0.15400625702055154,234
0.68,0.04727664854879038,-0.1514117402253226,234
0.684,0.04093583464911959,-0.14473256325732875,234
0.6880000000000001,0.04444956940741563,-0.13693641155592973,234
0.6920000000000001,0.05427756597129048,-0.1307726512576601,234
0.6960000000000001,0.06850792408126351,-0.1279144213907943,234
0.7000000000000001,0.08672325364395672,-0.1283233838862286,234
0.704,0.10669924654027353,-0.1303742921675005,234
0.708,0.12327317729730682,-0.13192921683411082,234
0.712,0.13161389995667871,-0.13235292487609157,234
0.716,0.13145653586767952,-0.13373534670818155,234
0.72,0.12607957603008046,-0.13939811672202324,234
0.724,0.1175993219477697,-0.15130030740947828,234
0.728,0.10377303440279473,-0.16876637794396326,234
0.732,0.07948861340035068,-0.1879639231092958,234
0.736,0.04313740583233174,-0.2015951548088501,234
0.74,0.0033437073101103745,-0.20241816037714733,234
0.744,-0.02582760560207555,-0.1903606427368797,234
0.748,-0.03790676444664284,-0.17150618050513394,234
0.752,-0.03698170349424137,-0.15095562637303844,234
0.756,-0.03215322871940342,-0.13146102246899388,234
