lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
80.0,1,6,2,130,131,132,42,1866.3745805522497,43.20155761719998,5,5,x4,157.89867378194688,182.29893418040407,0.2288129359526792,0.9580275852297561,0.9332675191718063
80.0,1,6,5,133,134,135,42,17.946648773574093,4.236348518898568,0,2,x1,-42.33960016522903,3.330218576640355,0.09509287991719172,0.9975813017025658,0.9960964617073211
80.0,1,8,1,136,137,138,72,60264.40137963847,245.48808806057875,0,4,x3,-800.9956695266777,5607.9506948842445,0.27065760992899063,0.9835477901858947,0.9794838744361418
80.0,1,8,2,139,140,141,72,2366.928212842147,48.651086450789016,7,7,x6,161.70701299215213,234.87853730410825,0.29766604425040744,0.9162010976246376,0.878491429258119
80.0,1,8,5,142,143,144,72,18.189542383280614,4.264919973842488,0,2,x1,-42.39133069913157,2.6990901309442603,0.09559975148769516,0.9976014821436836,0.9961321631227242
80.0,2,2,1,145,146,147,12,195.22358939385603,13.972243534731852,1,2,x1,-213.5507865607536,69.61723552093643,0.066171085130768,0.9985722221388734,0.9972834772167479
80.0,2,2,2,148,149,150,12,190.75916584874562,13.811559138951171,0,0,1,-53.9104940610444,45.526651090912054,0.11217159390385106,0.9874730282248562,0.9766982894371179
80.0,2,2,5,151,152,153,12,181.6338707454688,13.477161078857401,1,0,1,-10.471492142930373,20.97278604759318,0.20648948690662802,0.9386868983291011,0.9017809782748636
80.0,2,4,1,154,155,156,60,4406.057845895269,66.37814283252635,0,2,x1,-460.3019879620335,238.73054829228832,0.1360756801373087,0.9945355975845303,0.9904048601785617
80.0,2,4,2,157,158,159,60,2012.356944030993,44.859301644486095,0,2,x1,-157.72579884831566,154.3503853051834,0.2773876362390646,0.92906293940724,0.8634516683305524
80.0,2,4,5,160,161,162,60,345.531933592393,18.588489276764612,2,0,1,-28.03692414371041,14.785772974009392,0.24390478279270195,0.9164976780543173,0.8629025994420317
80.0,2,6,1,163,164,165,168,17667.85346785287,132.92047798534608,5,4,x3,-552.2665993647041,578.7578588462501,0.20343155377089972,0.9894964131187035,0.9830909865111495
80.0,2,6,2,166,167,168,168,1849.212480977442,43.00247063806267,5,5,x4,156.27202323591277,57.81648484440897,0.24829176347717283,0.9305807543224257,0.8808516319148488
