degree,n_delays,delay_samples,smooth_window_samples,test_trial_id,completed_35hz,completed_80hz,reached_fraction_35hz,reached_fraction_80hz,reached_fraction_difference_80_minus_35
2,4,5,5,1088,True,False,1.0,0.7918336993266779,-0.2081663006733221
2,4,5,5,1244,False,False,0.15650115304747228,0.10611006775012756,-0.05039108529734472
2,4,5,9,2,True,True,1.0,1.0,0.0
2,4,5,9,3,True,True,1.0,1.0,0.0
2,4,5,9,4,True,True,1.0,1.0,0.0
2,4,5,9,312,True,True,1.0,1.0,0.0
2,4,5,9,620,True,True,1.0,1.0,0.0
2,4,5,9,622,True,True,1.0,1.0,0.0
2,4,5,9,778,True,True,1.0,1.0,0.0
2,4,5,9,1088,True,True,1.0,1.0,0.0
2,4,5,9,1244,False,False,0.23489119108374434,0.12329767180510892,-0.11159351927863542
2,6,1,0,2,True,True,1.0,1.0,0.0
2,6,1,0,3,True,True,1.0,1.0,0.0
2,6,1,0,4,True,True,1.0,1.0,0.0
2,6,1,0,312,True,True,1.0,1.0,0.0
2,6,1,0,620,True,True,1.0,1.0,0.0
2,6,1,0,622,True,True,1.0,1.0,0.0
2,6,1,0,778,True,True,1.0,1.0,0.0
2,6,1,0,1088,True,True,1.0,1.0,0.0
2,6,1,0,1244,False,True,0.959089052876632,1.0,0.04091094712336796
2,6,1,5,2,True,True,1.0,1.0,0.0
2,6,1,5,3,True,True,1.0,1.0,0.0
2,6,1,5,4,True,True,1.0,1.0,0.0
2,6,1,5,312,True,True,1.0,1.0,0.0
2,6,1,5,620,True,True,1.0,1.0,0.0
2,6,1,5,622,True,True,1.0,1.0,0.0
