dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,4,2,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.7038720618565627,0.7026273311857842,1422.2708779952738,1783.8101500499154,37.71300674827285,42.23517669017043,59,3515,3516,ok,
fixation_only,0,4,5,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.2531832092389559,0.21197557732525663,3584.243913718142,4720.6845486303755,59.86855530007503,68.70723796391742,16,3506,3507,ok,
fixation_only,0,4,5,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.26343197507581184,0.21814262176451452,3535.059749633902,4683.750855323926,59.45636845312621,68.43793432975549,60,3506,3507,ok,
fixation_only,0,4,5,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.2531832092389559,0.21197557732525663,3584.243913718142,4720.6845486303755,59.86855530007503,68.70723796391742,16,3506,3507,ok,
fixation_only,0,4,5,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.26343197507581184,0.21814262176451452,3535.059749633902,4683.750855323926,59.45636845312621,68.43793432975549,60,3506,3507,ok,
fixation_only,0,4,5,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.2531832092389559,0.21197557732525663,3584.243913718142,4720.6845486303755,59.86855530007503,68.70723796391742,16,3506,3507,ok,
fixation_only,0,4,5,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.2634285844999912,0.21814179452279217,3535.076027694698,4683.756061182302,59.45650534377797,68.43797236317205,55,3506,3507,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9739175604674246,0.9742190418257882,125.27898521255253,154.795668579692,11.192809531683835,12.44169074441621,26,3516,3517,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.974351965154208,0.9745437925774197,123.19249246749142,152.8458118416406,11.099211344392511,12.363082618895685,123,3516,3517,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9739175417725378,0.974219030955977,125.27907497292993,154.79573379994585,11.192813541417097,12.441693365452544,22,3516,3517,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9743519511344859,0.9745437978896975,123.19255979804613,152.8457799709493,11.099214377515471,12.363081329949638,115,3516,3517,ok,
fixation_only,0,6,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9739175222614044,0.9742190339183265,125.2791686786178,154.79571603041572,11.192817727391875,12.44169265134032,20,3516,3517,ok,
fixation_only,0,6,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.9743517961918204,0.9745439690590986,123.19330380364215,152.8447530790987,11.099247893602618,12.363039799300926,77,3516,3517,ok,
fixation_only,0,6,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,0.752894221678409,0.7518686616299237,1186.369770699393,1487.0680166553504,34.44371888602323,38.5625208804527,36,3511,3512,ok,
