configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations
137,622,success,,14.168000000000001,14.168000000000001,78.72679958678782,87038
137,778,success,,14.168000000000001,14.168000000000001,112.39610542356968,125361
137,1088,success,,14.172,14.172,81.99262487515807,90391
137,1244,success,,14.06,14.06,58.89653378352523,65490
138,2,success,,14.168000000000001,14.168000000000001,160.55228957533836,179506
138,3,success,,14.168000000000001,14.168000000000001,151.6422100905329,168204
138,4,success,,14.06,14.06,172.94429611042142,187823
138,312,success,,14.168000000000001,14.168000000000001,166.2846127152443,186664
138,620,success,,14.168000000000001,14.168000000000001,155.673455638811,174045
138,622,success,,14.168000000000001,14.168000000000001,163.3920966591686,181173
138,778,success,,14.168000000000001,14.168000000000001,164.8486158978194,185032
138,1088,success,,14.172,14.172,173.86680867150426,192755
138,1244,success,,14.06,14.06,138.56385433487594,152685
139,2,success,,14.14,14.14,40.36312678270042,44619
139,3,success,,14.14,14.14,45.62211089208722,50480
139,4,success,,14.032,14.032,60.727643372491,67310
139,312,success,,14.14,14.14,45.53998743928969,50349
139,620,success,,14.14,14.14,42.28969019278884,46815
139,622,success,,14.14,14.14,57.1027702242136,63360
139,778,success,,14.14,14.14,36.80327765084803,40548
139,1088,success,,14.144,14.144,37.31772276572883,41124
139,1244,success,,14.032,14.032,57.637024683877826,63858
140,2,success,,14.14,14.14,46.98952009342611,51924
140,3,success,,14.14,14.14,48.63866627216339,53989
140,4,success,,14.032,14.032,65.80420098081231,70975
140,312,success,,14.14,14.14,48.03764955326915,53822
140,620,success,,14.14,14.14,43.69709148444235,48934
140,622,success,,14.14,14.14,66.08556401357055,71731
140,778,success,,14.14,14.14,43.40870426222682,48292
140,1088,success,,14.144,14.144,42.727310897782445,45792
140,1244,success,,14.032,14.032,63.44708859361708,70646
141,2,success,,14.14,14.14,83.52306749857962,90371
141,3,success,,14.14,14.14,87.75787484459579,96212
141,4,success,,14.032,14.032,80.16649443656206,87392
141,312,success,,14.14,14.14,89.58879872225225,97392
141,620,success,,14.14,14.14,84.62404513172805,91567
141,622,success,,14.14,14.14,85.04800569079816,92729
141,778,success,,14.14,14.14,79.54172329977155,86236
141,1088,success,,14.144,14.144,77.32030763477087,84207
141,1244,success,,14.032,14.032,90.34426709264517,98888
142,2,success,,14.056000000000001,14.056000000000001,18.075506383553147,19508
142,3,success,,14.056000000000001,14.056000000000001,23.091693395748734,25150
142,4,success,,13.948,13.948,23.431556668132544,25099
142,312,success,,14.056000000000001,14.056000000000001,23.341284785419703,25515
142,620,success,,14.056000000000001,14.056000000000001,22.98305882513523,24836
142,622,success,,14.056000000000001,14.056000000000001,24.386422749608755,26340
142,778,success,,14.056000000000001,14.056000000000001,21.453687019646168,23460
142,1088,success,,14.06,14.06,23.572347471490502,25457
142,1244,success,,13.948,13.948,25.343492394313216,27709
143,2,success,,14.056000000000001,14.056000000000001,18.37903593108058,20203
143,3,success,,14.056000000000001,14.056000000000001,23.991038125008345,26508
143,4,success,,13.948,13.948,23.10599799081683,25331
143,312,success,,14.056000000000001,14.056000000000001,23.685293907299638,26239
143,620,success,,14.056000000000001,14.056000000000001,22.268760964274406,24566
143,622,success,,14.056000000000001,14.056000000000001,24.297247292473912,26645
143,778,success,,14.056000000000001,14.056000000000001,21.197238383814692,23392
143,1088,success,,14.06,14.06,23.265334870666265,25546
143,1244,success,,13.948,13.948,23.989311400800943,26538
144,2,success,,14.056000000000001,14.056000000000001,22.08655934408307,23590
144,3,success,,14.056000000000001,14.056000000000001,29.117466254159808,30856
144,4,success,,13.948,13.948,28.598441012203693,31201
144,312,success,,14.056000000000001,14.056000000000001,28.06508642435074,29656
144,620,success,,14.056000000000001,14.056000000000001,28.367353221401572,30862
144,622,success,,14.056000000000001,14.056000000000001,27.714202312752604,29701
144,778,success,,14.056000000000001,14.056000000000001,23.347264947369695,24923
144,1088,success,,14.06,14.06,28.95577798783779,30617
144,1244,success,,13.948,13.948,28.841375207528472,30717
145,2,failed,integration error: model derivative became non-finite,14.192,6.801785084571357,21.03653284162283,32063
145,3,success,,14.192,14.192,17.171833232045174,26216
145,4,success,,14.084,14.084,16.53043490089476,25206
145,312,success,,14.192,14.192,16.250002820044756,25015
145,620,success,,14.192,14.192,15.342449562624097,23363
145,622,failed,integration error: model derivative became non-finite,14.192,2.590095900171817,15.415636179968715,23958
145,778,success,,14.192,14.192,16.690088042989373,25663
145,1088,success,,14.196,14.196,17.81795198470354,27133
145,1244,success,,14.084,14.084,17.26114979572594,26419
146,2,failed,integration error: model derivative became non-finite,14.192,8.226012294278865,22.918291613459587,34805
146,3,success,,14.192,14.192,17.08911982178688,25647
146,4,success,,14.084,14.084,16.222420455887914,24411
146,312,success,,14.192,14.192,15.861210318282247,23837
146,620,success,,14.192,14.192,15.630046926438808,23393
146,622,failed,integration error: model derivative became non-finite,14.192,2.2327268425783435,12.487817199900746,19254
146,778,success,,14.192,14.192,16.40078272484243,24743
146,1088,success,,14.196,14.196,17.63748875632882,26676
146,1244,success,,14.084,14.084,17.906240297481418,26991
147,2,success,,14.192,14.192,15.84797042235732,24113
147,3,success,,14.192,14.192,15.396798523142934,23445
147,4,success,,14.084,14.084,15.134272893890738,23034
147,312,success,,14.192,14.192,14.802566854283214,22625
147,620,success,,14.192,14.192,14.367988541722298,21902
147,622,success,,14.192,14.192,16.2181118670851,24794
147,778,success,,14.192,14.192,15.151005618274212,23193
147,1088,success,,14.196,14.196,15.213924340903759,23228
147,1244,success,,14.084,14.084,15.698134602978826,23957
148,2,failed,integration error: model derivative became non-finite,14.188,10.938115331420843,24.081765223294497,36210
148,3,success,,14.188,14.188,14.69442155212164,21315
148,4,success,,14.08,14.08,6.391146343201399,8925
148,312,success,,14.188,14.188,13.492866020649672,19589
148,620,success,,14.188,14.188,12.510136645287275,18335
148,622,success,,14.188,14.188,14.478240815922618,21295
148,778,success,,14.188,14.188,14.050934974104166,20400
148,1088,success,,14.192,14.192,15.014085322618484,22036
148,1244,success,,14.08,14.08,14.921933537349105,21698
149,2,failed,integration error: model derivative became non-finite,14.188,12.571101613806226,23.321609307080507,35338
149,3,success,,14.188,14.188,14.964709416031837,22417
149,4,success,,14.08,14.08,6.153422625735402,8903
149,312,success,,14.188,14.188,13.76869934052229,20565
149,620,success,,14.188,14.188,12.662582723423839,18858
149,622,success,,14.188,14.188,15.1515007968992,22313
