dataset,channel,window_start_s,window_end_s,window_duration_s,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,split_method,train_trials,test_trials,train_trial_indices,test_trial_indices,dt,samples_per_window_before_downsample,samples_per_window_after_downsample,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9744709906482778,0.9735478676139793,126.6360142179728,167.30205218325787,11.253266824259203,12.934529453492225,20,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,1,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.9749242968656245,0.9737278556773181,124.38750914327532,166.1633711748714,11.152914827222313,12.890437198748202,84,1095,1095,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7609796305407817,0.7471935709022016,1186.3043469941133,1598.1657361645232,34.44276915397647,39.977065126951516,37,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7646932292841077,0.7488154407367705,1167.8709443807213,1587.9139972983273,34.17412682689525,39.84863858776517,167,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7609795323843223,0.7471933546963951,1186.3048349681937,1598.167102190276,34.442776237815,39.9770822120659,36,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7646931076777425,0.7488154306201625,1167.8715486653261,1587.914063936925,34.174135668152985,39.84863942391164,164,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7609793923687874,0.7471933225116212,1186.3055310435573,1598.1673053175853,34.4427863426227,39.97708475261278,35,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,2,2,80.0,zscore,0.2,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.7646924358101924,0.748816881167854,1167.8748836443674,1587.9048847311167,34.1741844620229,39.848524247845326,157,1090,1090,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,5,2,80.0,zscore,0.05,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2927296218221764,0.21873300355081912,3509.5721058495196,4950.3487101870305,59.24164165390354,70.35871452909747,37,1075,1075,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,5,2,80.0,zscore,0.05,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.30644432255251086,0.22579845967838,3441.50258814299,4905.601737394235,58.66432125357789,70.04000098082692,162,1075,1075,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,5,2,80.0,zscore,0.1,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.2927296218221764,0.21873300355081912,3509.5721058495196,4950.3487101870305,59.24164165390354,70.35871452909747,37,1075,1075,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,5,2,80.0,zscore,0.1,2,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.30644330765560707,0.2257800148528797,3441.507629355392,4905.718427591821,58.664364220158326,70.0408340012583,154,1075,1075,ok,
fixation_only_windowed,0,0.1,4.5,4.4,6,5,2,80.0,zscore,0.2,1,0,sequential_final_holdout,38,12,0 1 2 3 4 155 156 157 158 159 310 311 312 313 314 465 466 467 468 469 620 621 622 623 624 775 776 777 778 779 930 931 932 933 934 1085 1086 1087,1088 1089 1240 1241 1242 1243 1244 1395 1396 1397 1398 1399,0.004,2200,1100,0.29272861442834414,0.21873394065814203,3509.577106264098,4950.342793173034,59.24168385743351,70.35867248017854,34,1075,1075,ok,
