dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,4,2,2,80.0,zscore,0.2,2,0,38,12,0.004,0.7039711124155258,0.7020263747734038,1580.1124394999788,1282.535274000169,39.75062816484765,35.81250164398138,60,3516,3515,ok,
fixation_only,0,4,5,2,80.0,zscore,0.05,1,0,38,12,0.004,0.23820053690861745,0.254985498594026,4061.797152634028,3206.156784188798,63.73223009305439,56.622935142827046,16,3507,3506,ok,
fixation_only,0,4,5,2,80.0,zscore,0.05,2,0,38,12,0.004,0.2477394597939158,0.2629801013392583,4010.9419044324795,3171.7723413341078,63.331997477045356,56.31849022598269,56,3507,3506,ok,
fixation_only,0,4,5,2,80.0,zscore,0.1,1,0,38,12,0.004,0.23820053690861745,0.254985498594026,4061.797152634028,3206.156784188798,63.73223009305439,56.622935142827046,16,3507,3506,ok,
fixation_only,0,4,5,2,80.0,zscore,0.1,2,0,38,12,0.004,0.2477394597939158,0.2629801013392583,4010.9419044324795,3171.7723413341078,63.331997477045356,56.31849022598269,56,3507,3506,ok,
fixation_only,0,4,5,2,80.0,zscore,0.2,1,0,38,12,0.004,0.23820053690861745,0.254985498594026,4061.797152634028,3206.156784188798,63.73223009305439,56.622935142827046,16,3507,3506,ok,
fixation_only,0,4,5,2,80.0,zscore,0.2,2,0,38,12,0.004,0.24773862986323883,0.26297932078801367,4010.946330537653,3171.775696572492,63.332032420708344,56.31852001404593,55,3507,3506,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9741225682237982,0.9735407159913945,138.17065059981616,113.91641599619312,11.754601252267818,10.67316335470385,24,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.974523074520382,0.973976732289683,136.03226507252148,112.03915695356584,11.66328706122427,10.58485507475496,135,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,138.17076938361456,113.91649619670385,11.754606304917854,10.673167111813806,20,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.97452304173967,0.9739767236364988,136.03243999923018,112.03919422348982,11.663294560253126,10.584856835285484,109,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,138.17076938361456,113.91649619670385,11.754606304917854,10.673167111813806,20,3517,3516,ok,
